user,rating,comment,product_id,0,0.1,0
Dino Bravo,5.0,Still remember the taste of it to this day. One of the best.,4.0,,,
P. Crackers,5.0,Pretty much what everyone else is saying... this was the best cereal EVER! Ralston made all of the best cereals. I recall this one tasting just like Dunkin' Donuts cereal.,4.0,,,
Jeff H.,5.0,This was the,4.0,,,
Kaboodle Doodle,5.0,This was one of my favorites from the early 90's.,4.0,,,
K.Y.,5.0,I remember this cereal for some reason. I was 4 or 5 at the time.,4.0,,,
Bosslady96,5.0,(Team Breakfast Member)  Omg! I loved this cereal!!! Would eat a entire box while watching Saturday morning cartoons. With or without milk it was really good! Please please please bring it back!,4.0,,,
F.O.X.,5.0,"Please bring this cereal back! It was so good, milk or not! Would eat a whole box every Saturday morning!",4.0,,,
Keyes,5.0,"Please release this cereal again. I can't remember exactly how it tasted, but I do remember that I liked it A LOT.",4.0,,,
AA6,5.0,I loved this cereal.,4.0,,,
drwholives,5.0,"(Team Breakfast Member)  Please bring this flavor of cereal back. I was an addict when I was a kid, and couldn't get enough of it. I used to eat an entire box on a Saturday morning.",4.0,,,
Matty G.,0.0,"Very cool. Going to eBay now to look for a ""Thing Flashlight"". Loved the Addams Family (TV Show, not so much the movie).",4.0,,,
Rosered,5.0,"Amazing cereal, couldn't get enough of it, wish it would make a comeback.",4.0,,,
mart,5.0,That is JUST WHAT WE NEED... Mart,4.0,,,
Jelli,1.0,I remember this stuff tasted like pure maple syrup. I hated that stuff but I loved the Cousin It flash light.,4.0,,,
BenPanced,1.0,"(Team Breakfast Member)  I remember trying it when it first came out (hang on to the intact boxes with flashlights still on them, if you have them. It was incredibly difficult finding a box that didn't have the cellophane wrap torn open and the flashlights stolen!) I described the two flavors as ""chocolate"" and ""brown"".",4.0,,,
esam1,0.0,I want to try this cereal. Was it good?,4.0,,,
Roxie Katz,0.0,I have an unopened box of the stuff. I bought it just because I LOVED Raul Julia. I can only imagine what it looks like inside now...,4.0,,,
CactusHeart,4.0,"Wow, did I EVER have a love/hate relationship with THIS cereal *LOL* I love the Addams family, but didn't know what to make of the cereal...the flavor was kind of, well, WEIRD. *LOL* But then it's the Addams family, so where's the surprise there? *lol* The colors were off-putting. The fruit flavor combination was so out there it borderlined gross...yet...for some reason I couldn't stop eating it *LOL* Sadly, by the time it was discontinued, I was hooked *lol* I bothered the heck out of my uncle to buy as many boxes as he could at the closeout store.",4.0,,,
coolie,0.0,I'm a little young so I've never heard of that cereal but it seems cool.,4.0,,,
Lisa,5.0,"Oh my God!!! I used to eat this cereal all the time. And I have that Lurch flashlight! Oh, wonderful memories. ^_^ <3",4.0,,,
Montana,5.0,"I, too, loved this cereal. There wasn't anything 'bland' about it in my book!!",582.0,,,
Elephant,0.0,This cereal was my life. I was stunned and when it was discontinued. Now my wife is going to divorce me. Save my marriage. There is nothing in this world that can compare to this. Strawberry Medly. It's quite frankly the only thing I ever really loved. -Heart Broken,582.0,,,
davidcf67,5.0,"(Team Breakfast Member)  I have loved this cereal since it was released and still love it to this day. Please, please bring it back. It was amazing. There is nothing that compares to this and nothing will ever compare.",582.0,,,
mictuc,5.0,(Team Breakfast Member)  This was the BEST cereal I ever ate! What ever happened? Why oh why was it discontinued... I thought I was alone in my disbelief that my beloved cereal has been discontinued:'(. PROTEST!,582.0,,,
Yarngrandma,5.0,"When, if ever, are they going to bring back this awesome cereal? I MISS it like crazy.",582.0,,,
C.M.P.,5.0,Why was this taken away? What a shame. It was a terrific cereal.,582.0,,,
bigjohnp,5.0,"I really hope you bring back the strawberry medley, I used to buy it all the time. Since this cereal was discontinued, I have tried others but nothing comes close. I'm sure I am not the only one who wishes this product would come back. - John from Canada",582.0,,,
Canadian fan,5.0,"PLEASE bring this cereal back. It was the greatest! Having diabetes, it's a cereal my body could handle. The new one they replaced it with is no where as good.",582.0,,,
Dr.  Duck,5.0,This cereal is awesome. It's the only one that was always sold out so I started buying three or four boxes at a time so I would not run out. Please bring it back. You have my support!!,582.0,,,
Ladybug M.,5.0,"I just finished my last box. If anyone from Kellogg's is reading this... Do you have any at the factory that I can order? Please bring it back It's not fair that some of your products stay around for years unchanged but for us adults you are always changing what we like. I was in Missouri and had to transfer to Texas to keep my job. When I would go home, I would stock up on this cereal.",582.0,,,
BranCrazy,5.0,I love the cereal and I've searched everywhere for it. I have no comfort knowing that no one else has found this deliciously scrumptious bran cereal :( It was the best! We must bring it back!,582.0,,,
erin,5.0,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582.0,,,
burkey,5.0,My husband and I loved this cereal. I am online hoping to find a box somewhere as part of his Christmas gift. I hope they bring it back. It seems like there is enough support for it.,582.0,,,
Warrensburg,5.0,"I loved this cereal. Myself and 3 friends have been looking for this in stores. We can't find it. Please help and tell us where we can find this product close to Warrensburg, MO.",582.0,,,
SadInCanada2,5.0,This is or maybe I should say was my Mom's favorite cereal. And if they still have it in Canada I can't find it.,582.0,,,
sad-miss,5.0,I miss this cereal.,582.0,,,
bloated&amp;sad,5.0,I am so sad and so is my colon. It's the only thing that every made my digestive system happy. What will I do? If they still have it in Canada I think I will have to move there.,582.0,,,
Shelly,5.0,Love it... I'm glad we have it in Canada...,582.0,,,
clowery,5.0,"(Team Breakfast Member)  I love this cereal, It is awesome, but all the stores that I shop at have stopped stocking this cereal, I am so sad, I cannot find it, even went on a trip to another state and looked for it at their Walmart and they did not have it. What is up with stores in Mississippi not having it?",582.0,,,
Missing Medley,5.0,"So disappointed to learn this cereal has been discontinued. I have been eating my ""last"" box very sparingly :( I will contact Kellogg's with hopes they bring it back.",582.0,,,
Jane,5.0,"After 5 Diverticulosis flare-ups in 1 year, my doctor tells me to get more fiber. I tried (and fell in love with) Kellogg's All-Bran Strawberry Medley. I used to grab a cup of coffee and head out the door, until Strawberry Medley. It packs much more fiber than Special K for practically the same flavor. Now, I discover Kellogg's has discontinued my new breakfast ritual and I can't find it anywhere. I will be petitioning to have them bring it back.",582.0,,,
teastitcher,4.0,I called Kellogg's... it's been discontinued :( Figures... most people would rather eat all that sugary crap... no problem finding that stuff. I am so disappointed! Call or email Kellogg's and tell them you miss it... maybe they will bring it back.,582.0,,,
Oh-No,0.0,I cannot find this cereal either! Is it discontinued?,582.0,,,
helio189,4.0,"Like the other comments, I really like this cereal and can not find it in our stores anymore. What happened?",582.0,,,
Pitt,0.0,"Pittsburgh stores don't carry Strawberry Medley and I was ordering online, but now I can't find it anywhere. Kellogg's send it back to the stores.",582.0,,,
Queen Ann,5.0,Where is it? I can't find it anymore.,582.0,,,
A. Beamer,4.0,I love this cereal but can't find it in our local stores anymore.,582.0,,,
jeannie,4.0,I love this cereal but now I can't find it at our two nearest Walmarts or our local Food Lion. Is it still being made?,582.0,,,
V GOOD,5.0,I thought the All-Bran Strawberry Medley was awesome. I have had other bran cereal that was very bland. This cereal actually had a very nice flavor.,582.0,,,
Cracker Jack,3.0,(Team Breakfast Member)  I thought that it was a little bit boring.,11.0,,,
Dissatisfied,1.0,"This used to be my favorite, but the new version is awful! Tastes like they were soaked and dried, I agree... taste like cardboard! Bring the old one back!",11.0,,,
trottersan,5.0,"Alpha-Bits were in my top 5 cereals of all-time. Not too sweet, but so delicious. In recent years it has reappeared, but is nothing like the original. Tastes like cardboard now. Not even a hint of sweetness. So sad. Since they started making so many cereals 'healthier', most just don't do it for me anymore. Sadly, the change to 'healthier' foods has sacrificed the original taste of these foods. Had McDonald's fries yesterday and they were inedible! It's like that with so many foods now.",11.0,,,
LuckyCharms#1,2.0,It's simple - Alpha Bits is Lucky Charms with no charms. Add the Marshmallows. Don't know why they won't.,11.0,,,
reece.m.c.p,2.0,Ok. New and improved version sucks. Big letters and different taste! Curse Post - bring back the old Alpha Bits and new flavors of Alpha Bits like the marshmallow ones!,11.0,,,
OldSchoolGirl,1.0,'New and improved' Alpha-Bits are anything but. Tastes like cardboard. Bring back the original.,11.0,,,
Jim,5.0,"I do not like the 'new and improved' Alpha-Bits at all - not good. Bring back the old cereal. In the meantime, Frosted Cheerios are a good substitute but, unfortunately, they can be hard to find.",11.0,,,
Nemo38,2.0,This rating is for the 'New and improved' Alpha Bits. This cereal disappeared for a few years and when it finally re-emerged they had changed the recipe so much that it was like eating cardboard. Smart company's don't change a good thing. Coke is still Coke and Hershey Bars are still Hershey Bars.,11.0,,,
Unhappy,2.0,"The 'new and improved' Alpha-Bits cereal is awful. Less sugar, yes, but less taste as well. Will not buy again.",11.0,,,
Pat-4,0.0,Bring back the Frosted Alph-Bits. The new 'improved' ones do not compare. I will probably end up throwing them out.,11.0,,,
The Slammer,0.0,(Team Breakfast Member) I have never tried them.,11.0,,,
donna1369,4.0,(Team Breakfast Member)  I miss Alpha-Bits. Don't see it in stores by me anymore.,11.0,,,
alpha lvr,5.0,Stop complaining. If you don't like it then put something in it to taste better like sugar or peanut butter... anything you like. Maybe they will get their recipe back if we ask Post by calling or email them or post on Facebook.,11.0,,,
a.b. lover,5.0,They need their cool prizes back and maybe more flavors. It is a good cereal.,11.0,,,
Wade T.,0.0,"This is and always has been my favorite cereal. But what's the deal... they changed it? No way. Well, the last place I saw it was Walmart. I'll look for it, but if they changed it, I might not like it either.",11.0,,,
Ruined,2.0,New Alpha Bits taste absolutely horrible! They're hardly like the classic and great cereal at all. I wish cereal companies would stop messing with recipes that work!,11.0,,,
Pamelaj25,1.0,"Like many other Commenters, I finally found Post Alpha-Bits and couldn't wait to have them again. I can't believe this cereal even exists anymore. It is so nasty I will be tossing this box out right after my review!",11.0,,,
