,Unnamed: 0.1,Unnamed: 0,user,rating,comment,product_id,similarity,sentiment,score
0,31,31,erin,5,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582,0.4462089899529985,-0.1154,0.16540449497649926
1,51,51,trottersan,5,"Alpha-Bits were in my top 5 cereals of all-time. Not too sweet, but so delicious. In recent years it has reappeared, but is nothing like the original. Tastes like cardboard now. Not even a hint of sweetness. So sad. Since they started making so many cereals 'healthier', most just don't do it for me anymore. Sadly, the change to 'healthier' foods has sacrificed the original taste of these foods. Had McDonald's fries yesterday and they were inedible! It's like that with so many foods now.",11,0.1381396771818726,0.7093,0.4237198385909363
2,66,66,Yumarama,4,"(Team Breakfast Member)  This was ""THE"" staple cereal at our house; you could almost always find a box of this available. I've gone and grabbed a box now and then in the last couple decades and can't believe how sweet these things are, and as I assume they'd have had even more sugar back in the 60's, it boggles my mind why my mother would have bought this. However, it still offers a good bit of nostalgia and I may pick up another box sometime, when I can get a bank loan. Man, cereals are expensive now-a-days...",11,0.1381396771818726,0.1078,0.1229698385909363
3,88,88,Ruffin,0,"Does anyone have a copy of the commercial that introduced brown sugar frosting? It featured a speech choir for audio and simple line drawing animation in the form of wavy vertical lines and mouths. The text went something like this: A: Have you heard what's new? B: What's new? What's new? A: The brand new taste of Alpha-Bits. They're brown sugar frosted. B: Brown sugar frosted? A: Brown sugar makes these crispy letters, made from oats, golden. New golden Alpha-Bits are better than ever. B: Why are they better? A: 'cause brown sugar makes 'em that way. B: What way? A: Crisp, golden, and delicious. Now Alpha-Bits are more A-B-C-Delicious than ever. Than ever! And new golden Alpha-Bits have energy, from A to Z. You'll like 'em better than cereals with white sugar on 'em. Start your day a little bit better, A-B-C-Deliciously. Now you know what's new, don't you? B: Sure--Alpha-Bits. They have a new golden color and a brand new taste. All: Now the only cereal with all the letters is the only cereal with brown sugar on 'em. New golden Alpha-Bits are better than ever. Than ever!",11,0.8842030122507006,0.9765,0.9303515061253503
4,158,158,erin,5,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582,0.4462089899529985,-0.1154,0.16540449497649926
5,180,180,Rockhound,5,"I'm a cereal mixer, in that I start with an unsweetened cereal like Grape Nuts or shredded wheat, then I top it with a slightly sweetened cereal. Almond Delight remains my all time favorite topper.",9,0.1381396771818726,0.836,0.4870698385909363
6,192,192,Jude,5,"Ditto other comments. Not too sweet, healthy almonds and stays crunchy until the end. Bring it back!",9,0.4671028078772243,-0.6162,-0.07454859606138783
7,205,205,Richard,5,"It was the best! The cereal ads were aimed at adults, for an adult sweetened cereal, I was a kid back then. I tried it once when we were out of Wheaties - I WAS HOOKED! It was GREAT! Some company somewhere: PLEASE BRING IT BACK!",9,0.1381396771818726,0.9353,0.5367198385909363
8,251,251,trottersan,5,"Alpha-Bits were in my top 5 cereals of all-time. Not too sweet, but so delicious. In recent years it has reappeared, but is nothing like the original. Tastes like cardboard now. Not even a hint of sweetness. So sad. Since they started making so many cereals 'healthier', most just don't do it for me anymore. Sadly, the change to 'healthier' foods has sacrificed the original taste of these foods. Had McDonald's fries yesterday and they were inedible! It's like that with so many foods now.",11,0.1381396771818726,0.7093,0.4237198385909363
9,266,266,Yumarama,4,"(Team Breakfast Member)  This was ""THE"" staple cereal at our house; you could almost always find a box of this available. I've gone and grabbed a box now and then in the last couple decades and can't believe how sweet these things are, and as I assume they'd have had even more sugar back in the 60's, it boggles my mind why my mother would have bought this. However, it still offers a good bit of nostalgia and I may pick up another box sometime, when I can get a bank loan. Man, cereals are expensive now-a-days...",11,0.1381396771818726,0.1078,0.1229698385909363
10,288,288,Ruffin,0,"Does anyone have a copy of the commercial that introduced brown sugar frosting? It featured a speech choir for audio and simple line drawing animation in the form of wavy vertical lines and mouths. The text went something like this: A: Have you heard what's new? B: What's new? What's new? A: The brand new taste of Alpha-Bits. They're brown sugar frosted. B: Brown sugar frosted? A: Brown sugar makes these crispy letters, made from oats, golden. New golden Alpha-Bits are better than ever. B: Why are they better? A: 'cause brown sugar makes 'em that way. B: What way? A: Crisp, golden, and delicious. Now Alpha-Bits are more A-B-C-Delicious than ever. Than ever! And new golden Alpha-Bits have energy, from A to Z. You'll like 'em better than cereals with white sugar on 'em. Start your day a little bit better, A-B-C-Deliciously. Now you know what's new, don't you? B: Sure--Alpha-Bits. They have a new golden color and a brand new taste. All: Now the only cereal with all the letters is the only cereal with brown sugar on 'em. New golden Alpha-Bits are better than ever. Than ever!",11,0.8842030122507006,0.9765,0.9303515061253503
11,377,377,markuka85,3,"(Team Breakfast Member)  Where did the flavor go? I used to eat these constantly in the 70's, and they had a sweet, fruity and spicy flavor. I just bought a box to relive old memories, and they were almost completely tasteless; like eating plain Cheerios without the oat flavor. No wonder Kellogg's is losing market share.",13,0.1381396771818726,0.4432,0.2906698385909363
12,384,384,Killingjoke,0,(Team Breakfast Member) I hadn't had Jacks for such a long time bought some last year and damn they were so bland not sweet enough. I had to make a box I didn't buy into marshmallow treats with coconut shreds cause they were past date. Disappointing.,13,0.1381396771818726,-0.8245,-0.3431801614090637
13,422,422,K. Reeves,5,Must say that I agree with everyone else. This is one of the best cereals ever made. The flakes were so thick and crunchy. And there were those real apple bits. Simply delicious!,14,0.4462089899529985,0.8932,0.6697044949764992
14,433,433,j3px1,5,"(Team Breakfast Member)  I enjoyed this cereal in the early to mid-eighties ('84-'85). The flakes had a texture like Product 19 (more crunchy than crispy) and the apples baked into them were lightly sweetened, cinnamon-sprayed flecks with more taste than today's apple rings. Add to that the raisins. I never baked treats from them (they didn't last long enough to bake in our household), but I bet they would have tasted really good. What's interesting about this product is that it's one of the few of its time that didn't have another version (Like Apple Crisp without Raisins, or Peach Crisp, which I'd have wolfed up!) It's too bad they discontinued this gem.",14,1.0,0.8728,0.9364
15,444,444,E-Dub,5,"Hands down one of the all time greatest cereals ever made! I used to kill this stuff... great taste, crispy flakes. The apple bits and raisins together were great! When I go to the store today, I look at the cereals on the shelves hoping that by some miracle, Kellogg's would bring it back. If they did, I'd probably buy every box on the shelf just in case Kellogg's did the same stupid thing they did when they pulled it off the shelf in the first place!",14,0.8842030122507006,0.9149,0.8995515061253503
16,469,469,Raisin Crisp MM,5,Bring that crunchy goodness back!,14,0.4462089899529985,0.5093,0.47775449497649924
17,477,477,e-dub,5,"(Team Breakfast Member)  Kellogs needs to bring this one back FOR REAL!!!! It was the BOMB!!! not overly sweet, great mix of fruit, and the flakes stayed crispy, and had nice flavor and texture, I could eat damn near a whole box of it in one sitting.",14,0.8949287889464305,-0.4295,0.23271439447321524
18,479,479,lives2eat,5,"(Team Breakfast Member)  I loved it. LOVED it. I miss it. I don't like cereals that are too sweet. This one was just right, and the texture, ohhh, perfect!",14,0.1381396771818726,0.9302,0.5341698385909364
19,505,505,sid-17,5,"Memories of Banana Frosted Flakes are so evocative for me. I can bring the relatively strong banana flavor to mind, or at least I think I can. One of the sweetest, most clearly flavored of all my youthful breakfast cereals; hearkens back to a time of much less political correctness about the evils of sugary cereals.",415,0.1381396771818726,0.5984,0.3682698385909363
20,573,573,Rey,4,"I loved this cereal too but I found a new cereal that tastes just like it, only the texture is puffy and crispy. It's called Blueberry Tiny Toast from General Mills.",37,0.8842030122507006,0.6908,0.7875015061253503
21,609,609,Me-Three,5,I only had the natural fruit flavor version. I'd eat a whole box at a time wet or dry. It was a lemony fruity sweeter version of Kix. Loved it. Think about it often.,38,0.1381396771818726,0.7506,0.4443698385909363
22,626,626,Carrie,5,This is the only cereal I vividly remember from my childhood. I recall they were like Kix but sweeter and my mom would get them for me because she didn't like me adding sugar to my Kix. I wouldn't add sugar to Body Buddies because they were sweet enough as they were. I remember doing the puzzles on the back of the box while eating and I seem to recall having a jigsaw puzzle with an image of the box front. I remember being sad when Body Buddies were no longer available.,38,0.1381396771818726,-0.5947,-0.2282801614090637
23,629,629,Two4two,0,"I remember this cereal as a kid, my mom would never buy me pre-sweetened cereal, but I would sometimes go to my older sister's house and once in a while she would let me and my twin have some... I was in heaven. I wish they would bring this cereal back.",38,0.1381396771818726,0.8402,0.48916983859093627
24,778,778,Rexacer,0,"Another cereal I really liked. Mom would never buy 'sweet' cereals for us, but these (and Life) were the 2 we could get past her.",47,0.1381396771818726,0.0789,0.1085198385909363
25,791,791,TBinSTL,5,"Ever since this cereal went away, I've been sweetening unsweetened with maple syrup (or maple flavored syrup)... Wheaties comes kinda close.",47,0.1381396771818726,0.0,0.0690698385909363
26,795,795,Buddy T.,5,"Best maple flavor. Not sweet and kid-like ala Waffelos or Waffle Crisp, but more warm and authentic. I would run to the store this minute (in my underwear) if I heard it was back!",47,0.1381396771818726,0.6048,0.3714698385909363
27,799,799,Beef LoMein,5,"It may just be the glow of memory, but I absolutely LOVED these when I was a kid. They promised enough wholesomeness to pass the mom test, while being sweet and tasty enough for kiddos. I would 100% buy these if I saw them again.",47,0.1381396771818726,0.9445,0.5413198385909364
28,814,814,L.G.,4,"Arrowhead Mills makes a decent version for us grown ups who remember Buc Wheats. It's not as sweet as the old one (hence I say for grown ups), is made from buckwheat, i.e., no wheat filler, and has the slightly shiny maple glaze. Of course, being all buckwheat it is advertised as that magical ""gluten-free"" panacea, if you want to believe the marketing hype around that.",47,0.1381396771818726,-0.5236,-0.19273016140906368
