product_id,rating,name
300,1,Quisp Cereal
144,2,Frosted Flakes (Kellogg's) Cereal
1143,3,Concentrate Cereal
216,6,Krumbles Cereal
53,7,Cap'n Crunch Cereal
175,8,Grape-Nuts Cereal
286,9,Puffa Puffa Rice Cereal
197,10,Honey Nut Cheerios Cereal
72,11,Cinnamon Toast Crunch Cereal
222,12,Lucky Charms Cereal
290,14,Puffed Rice (Quaker) Cereal
396,16,Wheaties Cereal
1167,17,Fortified Oat Flakes Cereal
139,18,Franken Berry Cereal
314,19,Rice Krinkles Cereal
259,20,Oat Flakes (Post) Cereal
101,21,Count Chocula Cereal
40,23,Boo Berry Cereal
47,24,Buc Wheats Cereal
185,25,Hidden Treasures Cereal
273,26,Peanut Butter Crunch (Cap'n Crunch) Cereal
142,27,Froot Loops Cereal
379,28,Trix Cereal
388,29,Waffle Crisp Cereal
168,30,Golden Grahams Cereal
387,31,Waffelos Cereal
192,33,Honey-Comb Cereal
334,34,Smurf Berry Crunch Cereal
133,35,E.T. Cereal
211,39,Kaboom Cereal
50,40,C-3PO's Cereal
147,43,Frosted Mini Chex Cereal
13,44,Apple Jacks Cereal
252,45,Nerds Cereal
162,49,Fruity Pebbles Cereal
351,50,Sugar Crisp Cereal
176,51,Grape-Nuts Flakes Cereal
244,53,Mr. T Cereal
317,56,Rocky Road Cereal
320,57,Shredded Wheat (Nabisco) Cereal
278,58,Pink Panther Flakes Cereal
762,59,Team Flakes Cereal
11,60,Alpha-Bits Cereal
82,61,Cocoa Puffs Cereal
309,62,Reese's Puffs Cereal
431,64,Cinnamon Crunch (Cap'n Crunch) Cereal
884,67,Raisin Bran (Skinner's) Cereal
426,68,Cocoa Frosted Flakes Cereal
348,69,Strawberry Shortcake Cereal
37,70,Blueberry Muffin Tops Cereal
140,71,Freakies Cereal
208,73,Jets Cereal
370,74,Teenage Mutant Ninja Turtles (1989) Cereal
212,76,King Vitaman Cereal
141,77,French Toast Crunch Cereal
280,78,Pokemon Cereal
70,79,Cinnamon Marshmallow Scooby-Doo Cereal
113,80,Crispy Wheats 'n Raisins Cereal
276,81,Peanut Butter Toast Crunch Cereal
333,82,Smorz Cereal
294,83,Quake Cereal
270,84,Oreo O's Cereal
402,85,Yummy Mummy Cereal
206,88,Hunny B's Cereal
383,89,Vanilly Crunch (Cap'n Crunch) Cereal
306,90,Raisin Squares Cereal
49,93,Buzz Blasts Cereal
167,98,Golden Crisp Cereal
717,99,Nut & Honey Crunch Cereal
281,100,Pop-Tarts Crunch Cereal
102,105,Cracklin' Oat Bran Cereal
9,106,Almond Delight Cereal
373,108,Tony's Cinnamon Krunchers Cereal
94,109,Corn Pops Cereal
14,112,Apple Raisin Crisp Cereal
207,113,Ice Cream Cones - Vanilla Cereal
253,124,Nestle NesQuik Cereal
332,125,S'mores Grahams Cereal
372,130,Post Toasties Corn Flakes Cereal
331,132,S'mores Crunch Cereal
28,134,Berry Berry Kix Cereal
284,136,Product 19 Cereal
161,143,Fruity Marshmallow Krispies Cereal
1008,144,Strawberry Chex Cereal
103,146,Cracker Jack Cereal Cereal
231,148,Marshmallow Krispies Cereal
154,152,Fruit Brute Cereal
618,153,Reptar Crunch Cereal
301,154,Rainbow Brite Cereal
604,156,Caramel Nut Crunch Cereal
432,158,Choco Donuts (Cap'n Crunch) Cereal
551,160,Powerpuff Girls Cereal
1177,164,Sweet Crunch Cereal
442,166,Frosted Chex Cereal
187,173,Honey Bunches of Oats: Honey Roasted Cereal
241,174,Moonstones Cereal
1459,179,Graham Chex Cereal
1206,181,Strawberry Honeycomb Cereal
615,182,Razzle Dazzle Rice Krispies Cereal
109,183,Crispy Critters Cereal
895,185,Triple Snack Cereal
264,186,OJ's Cereal
38,187,Body Buddies Cereal
353,189,Sugar Jets Cereal
446,197,Crunchy Corn Bran Cereal
69,198,Cinnamon Mini Buns Cereal
689,208,Toasted Oatmeal - Honey Nut Cereal
1071,214,Newman's Own Cereals
778,226,Whole Wheat Krumbles Cereal
1004,255,Grape-Nuts Trail Mix Crunch: Cranberry Vanilla Cereal
691,259,Strawberry Squares Cereal
415,264,Banana Frosted Flakes Cereal
674,266,Oops! All Berries (Cap'n Crunch) Cereal
1587,272,Special K Apple Cinnamon Crunch Cereal
756,305,Crazy Cow - Chocolate Cereal
367,317,S.W. Graham Cereal
763,326,Team Cereal
195,346,Honey Graham Oh's Cereal
343,356,Sprinkle Spangles Cereal
165,368,Ghostbusters Cereal
1162,373,Clusters Cereal
1515,382,Good Morenings: Waffle Crunch Cereal
78,402,CoCo Wheats Cereal
557,445,Grape-Nuts O's Cereal
319,465,Shredded Ralston Cereal
1224,482,Raisin Bran Extra! Cereal
342,483,SpongeBob SquarePants Cereal
1453,523,Popeye Sweet Crunch Cereal
247,524,Mud & Bugs Cereal
243,531,Most Cereal
250,554,Multi-Bran Chex Cereal
86,559,Cookie Crisp: Vanilla Wafer Cereal
1325,560,Wheaties Fuel Cereal
686,594,Raisins Rice & Rye Cereal
690,614,Apple Cinnamon Squares Cereal
234,615,Maypo
347,640,Strawberry Blasted Honey-comb Cereal
378,648,Triples Cereal
369,649,Team Cheerios Cereal
701,668,Spider-Man (Ralston) Cereal
521,670,Honey Bunches of Oats with Real Peaches Cereal
282,688,Powdered Donutz Cereal
23,690,Basic 4 Cereal
249,703,Muffets Shredded Wheat Cereal
1579,729,Mini Trix Cereal
129,730,Double Dip Crunch Cereal
