Words,Count
cereal,9333
bring,4440
back,3745
please,2909
it,2630
best,2152
breakfast,1996
team,1705
loved,1678
favorite,1673
member,1494
like,1393
love,1356
find,1310
time,1225
the,1133
good,1131
my,1120
buy,988
remember,978
box,956
it's,939
ever,933
flakes,921
years,909
wish,871
taste,871
miss,867
eat,843
cereals,820
great,800
post,758
i'm,724
kellogg's,715
again,712
can't,656
don't,648
kid,644
they,630
now,622
wheat,621
why,571
crunch,559
want,541
discontinued,517
stores,508
know,508
eating,492
i've,485
them,462
sugar,459
store,458
come,453
we,448
found,442
making,430
market,423
if,418
old,417
flavor,412
shelves,410
day,403
need,398
too,395
better,393
boxes,390
think,380
milk,379
general,375
rice,375
ate,365
mills,361
oat,356
people,355
you,350
little,349
so,344
delicious,342
wheats,341
corn,341
kids,335
bran,320
bowl,318
raisin,318
anymore,311
one,310
available,309
new,306
chex,298
original,298
there,293
bought,289
hearts,288
got,288
product,280
looking,279
what,276
stuff,275
today,272
tasted,271
krumbles,271
longer,269
awesome,269
i'd,267
tried,267
way,267
grocery,265
me,262
honey,259
this,258
and,256
try,252
recipe,248
didn't,247
right,245
brought,244
much,237
look,234
hope,234
came,232
mom,231
morning,231
stopped,225
where,225
sure,222
liked,222
cinnamon,221
childhood,221
not,220
strawberry,218
all,218
memories,215
but,215
close,215
sweet,215
berry,211
crisp,208
long,208
concentrate,208
gone,205
agree,204
frosted,203
made,202
thought,200
when,197
was,197
is,196
tasting,193
all-time,189
maybe,188
lot,185
thing,185
up,185
family,185
bad,184
in,184
no,181
believe,181
child,180
went,177
food,177
healthy,177
that,176
year,172
life,171
a,171
oh,170
nut,170
far,169
able,169
going,168
grew,167
stop,165
tastes,164
away,164
start,164
just,164
buc,164
looked,163
absolutely,162
company,161
ago,160
chocolate,159
growing,157
version,157
sad,156
toasties,152
haven't,151
jets,150
oats,150
crunchy,150
amazing,150
greatest,149
anywhere,149
said,149
squares,148
fruit,147
quisp,146
couldn't,146
toast,146
quaker,145
sell,144
well,144
raisins,143
had,143
probably,142
world,141
out,140
big,140
discontinue,139
changed,138
eaten,137
2,136
puffed,136
online,135
would,135
nothing,135
let,135
shelf,135
comments,135
snack,134
having,133
how,133
needs,133
disappointed,132
definitely,132
pretty,131
grape,131
hot,131
crispy,131
wonderful,130
favorites,130
can,130
fortified,129
tell,129
hard,128
texture,128
more,128
live,128
as,127
that's,127
then,127
thanks,126
3,125
thank,123
doesn't,123
i'll,123
days,123
shredded,123
same,122
walmart,122
5,120
commercial,120
called,120
local,119
wasn't,119
sold,118
times,118
maple,118
buying,117
selling,117
actually,117
comes,117
case,116
still,116
real,116
hoping,116
similar,115
yes,115
soggy,114
happened,114
different,113
enjoy,112
to,111
do,111
cap'n,111
children,111
marshmallows,111
clusters,111
nuts,110
early,110
very,110
butter,109
here,108
special,108
husband,108
understand,107
pay,106
there's,106
oatmeal,106
week,106
cheerios,105
order,105
for,105
makes,104
limited,104
tasty,104
cream,104
trying,104
4,102
lol,101
total,101
small,100
peanut,100
area,99
use,99
kind,99
bringing,99
disappeared,98
mini,98
i,97
change,97
return,97
told,96
krispies,96
also,96
does,96
really,96
took,95
krinkles,94
brand,94
these,93
crazy,93
us,93
enjoyed,92
saw,92
craving,92
perfect,91
high,91
happy,91
omg,91
o's,90
house,90
lucky,90
soon,90
nabisco,89
add,89
10,89
blueberry,89
help,88
on,88
isn't,87
yummy,87
later,87
some,87
mother,87
mix,87
searching,86
with,86
brother,85
puffa,84
getting,84
puffs,84
wheaties,84
reason,84
bunches,84
regular,84
finally,83
memory,83
vanilla,83
apple,83
canada,82
school,81
won't,81
man,81
carry,81
shame,81
home,80
even,80
things,80
guess,80
since,80
gm,80
commercials,80
late,79
seen,78
stock,78
absolute,78
foods,78
purchase,77
added,77
force,77
waffle,77
loves,76
cold,76
have,76
berries,76
started,76
they'd,75
golden,74
kaboom,74
most,74
dad,74
feel,74
compare,74
trix,73
thinking,73
glad,73
comeback,72
hands,72
wonder,72
mouth,72
charms,72
mr,72
brings,71
daughter,71
by,70
ones,70
wouldn't,70
only,70
pieces,69
though,69
every,69
flake,69
wife,69
site,69
bit,69
target,69
flavors,69
couple,68
quake,68
son,68
place,68
20,68
did,68
seriously,67
are,67
money,67
forever,67
at,67
especially,67
they're,67
taken,66
wow,66
consider,65
health,65
products,65
recently,65
quit,65
course,65
he,65
marketing,65
cocoa,65
dry,64
chance,64
any,64
compares,64
truly,64
popular,63
missing,63
count,63
boo,63
exactly,62
production,62
fruity,62
never,62
french,62
80's,61
fiber,61
multi,61
asked,61
missed,61
crave,60
friends,60
looks,60
instead,60
treat,60
knew,60
sister,59
70's,59
what's,59
smurf,59
young,58
totally,58
heard,58
cookie,58
supermarket,58
soya,58
nestle,57
months,57
brown,57
fun,57
unique,57
end,57
finding,57
search,57
after,56
em,56
king,56
read,56
everyday,56
recall,56
worth,56
6,55
bits,55
price,55
idea,55
or,55
adult,55
fan,55
flavored,55
aisle,55
who,54
care,54
amazon,54
pink,54
line,54
heart,54
sales,54
substitute,54
ask,53
kix,53
sugary,53
k,52
peaches,52
freakies,52
half,52
entire,52
vote,51
syrup,51
around,51
gets,51
either,51
super,50
everyone,50
hate,50
19,50
companies,50
website,50
of,50
will,50
wanted,50
ice,49
remembered,49
tv,49
nice,49
monster,49
country,49
classic,49
name,49
coming,49
chocula,49
past,49
grahams,49
marshmallow,48
100,48
fantastic,48
left,48
huge,48
60's,48
ingredients,48
hit,48
free,48
she,48
etc,47
50,47
bowls,47
run,47
send,47
nerds,47
nearly,47
n,47
graham,46
down,46
share,46
month,46
be,46
mind,46
enough,46
go,46
luck,46
fact,46
searched,45
introduced,45
second,45
maypo,45
oreo,45
stayed,45
problem,45
lived,45
petition,45
dream,44
wrong,44
surprised,44
nutritious,44
formula,44
comment,44
lost,44
person,44
asking,44
others,44
hey,44
check,43
lots,43
talking,43
multi-bran,43
says,43
wrote,43
internet,43
parents,43
alpha-bits,43
age,43
work,42
kept,42
saturday,42
cool,42
upset,42
anyone,42
boy,42
heck,42
30,42
rid,42
god,42
however,42
night,42
excellent,41
triple,41
could,41
based,41
grandmother,41
sadly,41
our,41
sale,41
yeah,41
you're,41
pebbles,41
loops,40
literally,40
plain,40
gave,40
aren't,40
80s,40
simple,40
goodness,40
1,40
fans,40
ralston,40
low,40
closest,40
s'mores,40
born,40
watching,39
smell,39
always,39
sweetness,39
cookies,39
lunch,39
cardboard,39
list,39
near,39
customers,39
sense,39
honeycomb,39
shape,39
sprinkle,39
sitting,38
true,38
muffets,38
meal,38
rest,38
christmas,38
bland,38
page,38
touch,38
anybody,38
expensive,38
40,38
t,38
today's,38
email,38
unfortunately,38
movie,37
opinion,37
simply,37
produced,37
fresh,37
type,37
while,37
brands,37
shapes,37
sent,37
awful,37
almond,37
alpha,37
shop,37
hear,36
myself,36
goes,36
usually,36
before,36
size,36
variety,36
large,36
from,36
coco,36
ruskets,35
grain,35
talk,35
mean,35
number,35
